model,term,estimate,std_error,t_stat,p_value
GLS-Parks,x33,35.85793571541065,36.86398720905303,0.9727090971484681,0.33069790263654153
GLS-Parks,x34,33.672901896212714,43.42581830783276,0.7754120292567773,0.4380962292475259
GLS-Parks,x35,42.313979828307424,44.961090296042386,0.941124415571213,0.34664110486104494
GLS-Parks,x36,47.898281033985825,40.84151914198084,1.1727840207773115,0.2408824276243804
GLS-Parks,x37,47.934934103056754,37.943804510695124,1.2633138590397666,0.20647640751079022
GLS-Parks,x38,48.28061621505462,37.09365563604751,1.301586899085127,0.19305764070303244
GLS-Parks,x39,48.56879730170309,37.44331928266012,1.2971285193776916,0.1945869701890246
GLS-Parks,x40,50.35724815088034,37.18918329799249,1.3540831953036911,0.17570983686185604
GLS-Parks,x41,52.350420207970544,38.05239850956429,1.375745610222507,0.1689004057170489
GLS-Parks,x42,47.27724025884188,48.120117107067514,0.9824838986499091,0.3258615114813421
GLS-Parks,x43,92.16449211546309,141.72152725739892,0.6503210478960698,0.5154848640587286
GLS-Parks,x44,209.34933423435578,248.5653955443979,0.8422304069150387,0.3996589967661408
GLS-Parks,x45,102.96175689350441,59.557637018549244,1.728775049645387,0.08384936328985693
GLS-Parks,x46,87.14861686102934,32.92874228512859,2.646582007487961,0.00813097875291455
GLS-Parks,x47,79.24245487037346,34.687061074286845,2.284496074794733,0.022342393012041686
GLS-Parks,x48,240.70324631084068,124.10381808042942,1.9395313539414663,0.05243667049137481
GLS-Parks,x49,121.87615080604436,78.7829838517661,1.5469857175676422,0.12186668968884844
GLS-Parks,x50,84.73033695490638,26.468218680322813,3.20121040173728,0.0013685156309758612
GLS-Parks,x51,52.26288509902975,15.638227811692529,3.3419953800617597,0.0008317844514755747
GLS-Parks,x52,61.85035585728065,24.473350717599416,2.527253279331402,0.011495856400194038
GLS-Parks,x53,66.26889602050241,27.471981819046626,2.4122357264577636,0.015855026947682545
GLS-Parks,x54,71.78599619131748,32.905042948397174,2.181610773275536,0.029138271103138175
GLS-Parks,x55,76.20820415356954,30.839604238278138,2.4711148549364284,0.013469255126076909
GLS-Parks,x56,78.8076837609381,30.408393615355244,2.591642451021905,0.009551898741396005
GLS-Parks,x57,84.42997826029556,33.855142016489125,2.4938598166025705,0.012636243852308203
GLS-Parks,x58,83.36891039315401,33.908017177925565,2.4586784286351,0.013944946219172995
GLS-Parks,x59,86.42569800354703,34.904958869876076,2.4760292176747054,0.013285270563257042
GLS-Parks,x60,131.54306673106356,46.70001933722232,2.8167668578718756,0.004850972496680132
GLS-Parks,x61,135.61579653912386,49.63453747159098,2.7322869003613754,0.006289634456012449
GLS-Parks,x62,101.34835788795063,52.439476434640795,1.9326729551594322,0.053276498851233256
GLS-Parks,x63,393.6486541946023,242.99662860957451,1.6199757850430185,0.10523747867750782
GLS-Parks,x64,110.81661173012859,64.54277558827265,1.7169483450331169,0.08598861046811913
GLS-Parks,x65,87.42983945855468,48.80015451487071,1.7915893981834108,0.07319876263044636
GLS-Parks,x66,105.2426164604475,47.98774491604915,2.193114442959579,0.0282991346831112
GLS-Parks,x67,244.58235734756633,103.25939060924074,2.36862096420002,0.017854540775306415
GLS-Parks,x68,164.35476611519567,70.01945145587834,2.347272974835589,0.018911393999749355
GLS-Parks,x69,142.66410490117116,92.14155357071246,1.5483145157921179,0.12154659126267722
GLS-Parks,x70,130.4739584092618,46.40192506788453,2.8118221004491213,0.004926174071884797
GLS-Parks,x71,137.40386121364958,46.32810158194069,2.9658858559231667,0.00301812481987568
GLS-Parks,_fit_stats,0.0639220697450551,81016762.03561397,61630.60958476383,62091.88141786017
Quantile-0.5,L1_bid_ask_spread_demeaned,2.5292809327851997e-05,0.5643513026211912,,
Quantile-0.5,L1_pubout_demeaned,-7.994511550869616e-08,4.417023502675624e-07,,
Quantile-0.5,L1_n_issues_demeaned,0.04232445230663736,0.016417343399103848,,
Quantile-0.5,L1_liq_hhi_demeaned,-1.7898468257297395e-05,0.6326830088696874,,
Quantile-0.5,L1_issue_conc_top3_demeaned,-5.059946706053052e-05,3.6177391827922563,,
Quantile-0.5,L1_liquidity_z_demeaned,0.0014309078971662947,0.11887181677738334,,
