qdate,hl_ssm,tenor_bucket
2010-09-30,5.0087833177862,2
2010-10-01,4.981341843163771,2
2010-10-04,4.998355287777372,2
2010-10-05,5.0462557990897015,2
2010-10-06,5.049876587601868,2
2010-10-07,5.026503361686893,2
2010-10-08,5.049414220335625,2
2010-10-12,4.949826790792047,2
2010-10-13,4.8136017009808025,2
2010-10-14,4.665782494758158,2
2010-10-15,4.6736516046474765,2
2010-10-18,4.9621854256400875,2
2010-10-19,4.797055933487532,2
2010-10-20,4.933861996078793,2
2010-10-21,4.50921397869965,2
2010-10-22,4.194010778481244,2
2010-10-25,4.0340563144523465,2
2010-10-26,3.92198255316465,2
2010-10-27,3.9173742235497775,2
2010-10-28,4.238633563787575,2
2010-10-29,4.2764934304840185,2
2010-11-01,4.248270891381268,2
2010-11-02,4.227326561076987,2
2010-11-03,4.2399161863989505,2
2010-11-04,4.271738290182332,2
2010-11-05,4.243877187704272,2
2010-11-08,4.234848136462569,2
2010-11-09,4.251821192678306,2
2010-11-10,4.180358277829581,2
2010-11-12,4.198477331108018,2
2010-11-15,4.195024970820278,2
2010-11-16,4.174636640602077,2
2010-11-17,4.202218881127417,2
2010-11-18,4.35827108105342,2
2010-11-19,4.22444999502505,2
2010-11-22,3.2393747665085364,2
2010-11-23,2.207905440759833,2
2010-11-24,4.272401473195812,2
2010-11-26,4.301396859857844,2
2010-11-29,4.250873856458725,2
2010-11-30,4.143225739470709,2
2010-12-01,4.09795928218295,2
2010-12-02,4.254503853883015,2
2010-12-03,4.245990568410175,2
2010-12-06,4.315951573423155,2
2010-12-07,4.159528677147782,2
2010-12-08,4.44948396335184,2
2010-12-09,4.378071946306348,2
2010-12-10,4.408841632125489,2
2010-12-13,4.458782357009781,2
2010-12-14,4.9548973155937315,2
2010-12-15,4.949136355008704,2
2010-12-16,4.170226810998777,2
2010-12-17,3.72521347757464,2
2010-12-20,3.6787481399126163,2
2010-12-21,3.4846826656163503,2
2010-12-22,3.8900905072265255,2
2010-12-23,3.9659597017754917,2
2010-12-27,3.8968068908811384,2
2010-12-28,3.8774484445901156,2
2010-12-29,3.7909099041542658,2
2010-12-30,4.008275209845792,2
2010-12-31,5.029126401419405,2
2011-01-03,5.250989137903056,2
2011-01-04,5.217377879150648,2
2011-01-05,5.512069110947902,2
2011-01-06,4.467885081562395,2
2011-01-07,4.191892515195882,2
2011-01-10,4.281992189654409,2
2011-01-11,4.716726524789416,2
2011-01-12,4.6204005877004,2
2011-01-13,4.367632984062322,2
2011-01-14,4.144995692120966,2
2011-01-18,4.489238783340556,2
2011-01-19,4.554385696601433,2
2011-01-20,4.383270052820253,2
2011-01-21,4.640457026898999,2
2011-01-24,4.597896222621934,2
2011-01-25,4.434450044835278,2
2011-01-26,4.564962845207863,2
2011-01-27,4.579784613574607,2
2011-01-28,4.53992390476769,2
2011-01-31,4.388190917496206,2
2011-02-01,4.090957841424824,2
2011-02-02,3.8975820664531944,2
2011-02-03,3.7937741014220085,2
2011-02-04,3.7880279440762665,2
2011-02-07,3.913492238155373,2
2011-02-08,3.77278186968193,2
2011-02-09,3.6564270087960087,2
2011-02-10,3.85637388408284,2
2011-02-11,3.882178410356032,2
2011-02-14,3.9792290838466324,2
2011-02-15,4.0736905945672985,2
