qdate,tenor_bucket,smoothed_level,filtered_level,smoothed_ar.L1,filtered_ar.L1,phi,sigma2_level,loglike
2010-01-04,2,41.803514715992165,43.53448083232624,1.561656189730485e-07,2.5394944167593122e-11,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-05,2,39.6059032467533,40.72756637503555,1.1097333290257856e-07,-2.0242954675133133e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-06,2,37.554410594266315,39.14875053448171,7.055297340354176e-08,-3.543648265342114e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-07,2,34.49949924131921,33.432830916578745,3.5892190858210873e-09,-1.0018641164336682e-07,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-08,2,36.55460556625135,38.29123419127437,7.451412531106483e-08,-3.2579887502783403e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-11,2,33.20656557564476,34.030651984492636,2.26164177918699e-10,-8.238331553386518e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-12,2,31.61769344510241,31.32597947992042,-2.6599979269790704e-08,-1.0898686482286222e-07,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-13,2,32.18013496090115,31.092213118113502,4.414694980928202e-09,-1.0285273129878865e-07,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-14,2,34.277713407778435,36.486659592939134,7.687843605691733e-08,-2.758665849034111e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-15,2,30.018733002513173,30.852833795437224,-2.157487640057079e-08,-9.501851797716627e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-19,2,28.410536810427118,28.809042902267283,-4.8674710029847334e-08,-1.124413482187394e-07,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-20,2,27.642193294063556,27.410894859570984,-5.34803544249335e-08,-1.2043163699333788e-07,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-21,2,28.088150665227918,28.148956799898805,-2.5925605049653614e-08,-1.0132441379159746e-07,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-22,2,27.97091293180892,27.54334505605152,-1.3759012051296211e-08,-1.0042768697271332e-07,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-25,2,28.795289588022317,28.43987868564063,2.3708244318010316e-08,-8.101599882722137e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-26,2,29.480543307323526,29.49750872109019,5.759943080097063e-08,-6.121831602569283e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-27,2,29.44783319220432,29.934375668634935,7.255158404816475e-08,-5.074220409878656e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
2010-01-28,2,28.509750358684688,28.945781543130447,6.362045885296615e-08,-5.877391917319917e-08,0.9171843548407991,2.948158345386276,-9365.194569965463
