tenor_bucket,model,variable,coef,std_err,t_stat,p_value,r_squared,n_obs
2,funding_factors,const,-7.805265671611355,80.51559322114709,-0.09694104408040721,0.9227732138222828,0.12991821970189832,204
2,funding_factors,CIP_basis_USDJPY,-3.600451294459723,0.44288770841255193,-8.129490220816619,4.3109953583740674e-16,0.12991821970189832,204
2,funding_factors,CIP_basis_EURUSD,-0.633316821598026,1.3321107392357254,-0.4754235537215023,0.634485109494545,0.12991821970189832,204
2,funding_factors,RRP_bill_wedge,-0.4174428061312497,2.8900794987883005,-0.14443990426777792,0.8851531081198687,0.12991821970189832,204
2,funding_factors,swap_spread_10y,0.5106570969932328,0.9415110256348413,0.5423803684602709,0.5875565007855486,0.12991821970189832,204
2,funding_factors,liq_hhi,-3523.226496703992,1260.4252207898617,-2.7952681671159487,0.005185668006439378,0.12991821970189832,204
2,funding_factors,agg_liq_hhi,-842.1684907121212,1816.5568802211887,-0.46360700283140954,0.6429293362208357,0.12991821970189832,204
2,funding_factors,agg_pubout,-2.1294497403584515e-06,1.2839543704832723e-06,-1.658508891991964,0.09721479425661392,0.12991821970189832,204
2,funding_factors,agg_n_issues,0.07600327924890761,0.03517544223937781,2.1606915055022196,0.03071917752330807,0.12991821970189832,204
2,funding_factors,quarter_end,-8.254347526747729,3.697067685659356,-2.232674170063403,0.025570439007703238,0.12991821970189832,204
2,funding_factors,event_any,0.0,0.0,,,0.12991821970189832,204
2,funding_pc,const,-1.8564107161230794,75.09434294477411,-0.024721046131108985,0.9802774678244657,0.08218165230202001,204
2,funding_pc,Funding_PC,-6.051542113809438,4.594326580072823,-1.3171771767503555,0.18777924231671006,0.08218165230202001,204
2,funding_pc,liq_hhi,-3146.87762293128,1257.938233301129,-2.501615373175458,0.012362815376680951,0.08218165230202001,204
2,funding_pc,agg_liq_hhi,75.76452289544136,1879.8735167937098,0.0403029896525509,0.9678515703192363,0.08218165230202001,204
2,funding_pc,agg_pubout,-1.3535680099273147e-06,1.353648715578764e-06,-0.9999403791762808,0.3173393617108571,0.08218165230202001,204
2,funding_pc,agg_n_issues,0.05794687524840188,0.03663284411752649,1.5818284559750568,0.11368873700680769,0.08218165230202001,204
2,funding_pc,quarter_end,-4.332366335132558,2.8347727814334394,-1.5282940359480384,0.1264395500307062,0.08218165230202001,204
2,funding_pc,event_any,0.0,0.0,,,0.08218165230202001,204
5,funding_factors,const,530.9962173792665,272.59295482011976,1.9479454915834613,0.051421485698209465,0.09344191299660776,210
5,funding_factors,CIP_basis_USDJPY,2.1993773764723814,4.7895547001407985,0.459202893414648,0.6460884729761234,0.09344191299660776,210
5,funding_factors,CIP_basis_EURUSD,-0.20591572658732687,1.3156462981995043,-0.1565129829112337,0.8756286864711675,0.09344191299660776,210
5,funding_factors,RRP_bill_wedge,-0.21936233350787987,3.0991208226135383,-0.07078211727250056,0.9435711644712677,0.09344191299660776,210
5,funding_factors,swap_spread_10y,2.887869905023865,2.700201546076962,1.0695016115443532,0.284843703076447,0.09344191299660776,210
5,funding_factors,liq_hhi,-1623.7009159296492,1874.1315325226606,-0.8663751117532711,0.3862844878286551,0.09344191299660776,210
5,funding_factors,agg_liq_hhi,-10446.146671185983,5244.827126008148,-1.991704668278852,0.04640347122223583,0.09344191299660776,210
5,funding_factors,agg_pubout,-7.4089319470273535e-06,3.712264770626973e-06,-1.9957983615958628,0.04595587522837934,0.09344191299660776,210
5,funding_factors,agg_n_issues,0.16703377565562566,0.08278753893974232,2.017619774604035,0.043630875798431105,0.09344191299660776,210
5,funding_factors,quarter_end,-4.162921739096777,5.7048910157101975,-0.7297110019512859,0.4655668546848629,0.09344191299660776,210
5,funding_factors,event_any,0.0,0.0,,,0.09344191299660776,210
5,funding_pc,const,483.1013857667026,232.56441237662008,2.0772799278694336,0.0377757305432131,0.09098863249820377,210
5,funding_pc,Funding_PC,4.230471075577631,4.552482408008973,0.9292668694633851,0.35275080035738837,0.09098863249820377,210
5,funding_pc,liq_hhi,-1783.4772791547214,1177.0802836248006,-1.5151704637023828,0.12972924086786006,0.09098863249820377,210
5,funding_pc,agg_liq_hhi,-10219.019356356506,4850.67422210947,-2.106721434677681,0.03514173309366352,0.09098863249820377,210
5,funding_pc,agg_pubout,-7.0764219918019195e-06,3.624296337823618e-06,-1.952495417648794,0.050879414466243104,0.09098863249820377,210
5,funding_pc,agg_n_issues,0.15961480615621218,0.08009226713080068,1.9928866028419603,0.04627386565945057,0.09098863249820377,210
5,funding_pc,quarter_end,-4.272598681653591,5.196750477672102,-0.8221673717086977,0.410981645954678,0.09098863249820377,210
5,funding_pc,event_any,0.0,0.0,,,0.09098863249820377,210
10,funding_factors,const,187.44955226276753,77.68736999892612,2.4128703580177664,0.015827448150830745,0.1601249755987123,235
10,funding_factors,CIP_basis_USDJPY,-0.27770717101589637,0.4050496107773261,-0.6856127339141289,0.4929573494122068,0.1601249755987123,235
10,funding_factors,CIP_basis_EURUSD,-1.1539609508510145,1.1809334606239508,-0.9771600088639327,0.3284899429502157,0.1601249755987123,235
10,funding_factors,RRP_bill_wedge,-1.8164624743945805,1.6212399349627302,-1.1204155752777816,0.26253671075780527,0.1601249755987123,235
10,funding_factors,swap_spread_10y,-0.15548178555725797,1.1677027823573616,-0.13315184985974848,0.8940732899172104,0.1601249755987123,235
10,funding_factors,liq_hhi,958.2242948359384,511.7615220181309,1.8724039491229862,0.0611507391028347,0.1601249755987123,235
10,funding_factors,agg_liq_hhi,-6261.088451714662,2333.0089931560733,-2.6836966638712862,0.0072813136603354645,0.1601249755987123,235
