# Dates where smoothed structural mean exhibits jump greater than 2x rolling 3m std
tenor,date,mu_jump_bp
2,2010-02-22,14.378223897388992
2,2010-03-05,7.147402985096906
2,2010-04-15,0.511092354504953
2,2010-04-30,8.432013877110307
2,2010-05-20,21.40391438978783
2,2010-05-21,30.674920298068784
2,2010-05-24,36.25550432313646
2,2010-05-25,41.57456903143397
2,2010-05-26,29.840384895005112
2,2010-07-01,27.301505970449583
2,2010-10-21,21.652625422485055
2,2010-11-22,29.135255688377892
2,2010-12-14,36.95689996668226
2,2010-12-16,32.6909261430629
2,2011-01-06,29.84369242074583
2,2011-01-13,23.07436301947688
2,2011-04-18,5.883131785166026
2,2011-04-29,0.5089131877742767
2,2011-05-02,3.61628228018343
2,2011-08-09,10.881562577629978
2,2011-08-16,19.175491586286796
2,2011-09-21,27.5999181367923
2,2011-09-30,30.91097835740572
2,2011-10-05,36.662514229067725
2,2011-10-06,39.62716198698001
2,2011-10-28,29.841293287361317
2,2011-12-14,37.55755153065361
2,2012-01-31,17.74733985995383
2,2012-02-09,9.866753890075492
2,2012-02-14,5.040121509989254
2,2012-04-13,-2.9828026207765497
2,2012-04-16,-5.240304252356802
2,2012-05-21,13.129425597203161
2,2012-06-04,20.898610030751083
2,2012-06-05,22.857171052242794
2,2012-06-22,21.00568270677312
2,2012-07-12,24.48241718067219
2,2012-07-16,27.57449718447903
2,2012-08-22,28.283564395975926
2,2012-09-07,25.082547388083135
2,2012-09-14,21.773834032518863
2,2012-09-19,18.397780661706314
2,2012-09-25,22.97276712501462
2,2012-10-24,20.84089011637166
2,2012-12-31,18.5643414713903
2,2013-01-15,11.707501258349076
2,2013-01-18,7.201708883739094
2,2013-01-28,4.102476891552339
2,2013-02-12,-10.846780016230397
2,2013-02-13,-13.136975724198763
2,2013-02-26,-18.086128411916313
2,2013-03-12,-19.438392860561027
2,2013-04-08,-10.746564457550665
2,2013-04-15,-12.52505122107021
2,2013-04-17,-11.860213721397594
2,2013-05-22,8.431049384383122
2,2013-05-24,12.484207836683328
2,2013-06-13,26.877605378000155
2,2013-06-21,34.54966690338147
2,2013-06-24,37.93217907613354
2,2013-07-09,34.06334468662715
2,2013-07-11,37.97021291259224
2,2013-07-12,31.143739167637705
2,2013-07-15,26.710807760372163
2,2013-11-20,24.269052178002276
2,2013-12-09,25.328578109881754
2,2013-12-13,21.80376763783483
2,2013-12-16,19.943222866282106
2,2013-12-20,23.522264493063993
2,2014-01-03,15.098916267616664
2,2014-04-15,-0.861861049504284
2,2014-05-23,13.592169623294913
2,2014-05-30,19.54939380044331
2,2014-06-25,31.2090676127851
2,2014-09-17,41.23162796581041
2,2014-11-28,28.19890647990222
2,2014-12-01,21.55754238376216
2,2014-12-04,28.179894769083912
2,2014-12-05,31.843670927998968
2,2014-12-08,27.274299717707482
2,2014-12-15,18.876807151934713
2,2014-12-16,4.765285479367687
2,2014-12-24,13.24747875514073
2,2015-02-06,3.537665189066267
2,2015-03-26,2.071512086705642
2,2015-05-01,14.4525030075989
2,2015-05-13,17.54542471017121
2,2015-06-08,24.43105466489739
2,2015-08-19,38.20580635374373
2,2015-11-13,33.10602384596847
2,2015-11-20,31.382748303128345
2,2015-12-14,33.37360527961118
2,2015-12-16,38.46145534128998
2,2016-01-07,28.460192749298788
2,2016-04-20,5.585437166742352
2,2016-04-22,11.19350010425152
2,2016-04-27,7.526764718054402
2,2016-05-02,7.8676041518822695
2,2016-05-05,11.491139589208696
2,2016-05-24,18.791666411740152
2,2016-06-27,24.280168712029305
2,2016-08-11,32.41878912423472
2,2016-10-03,34.89896638978534
2,2016-10-04,37.13323725715777
2,2016-11-09,41.722211540689386
2,2017-02-22,7.717692826900535
2,2017-03-08,6.414009294173694
2,2017-03-21,12.781203252525275
2,2017-04-14,9.018806679757157
2,2017-04-17,6.388894435945778
2,2017-04-21,7.5812938146689515
2,2017-05-04,11.723969891676816
2,2017-06-15,20.44240375723885
2,2017-06-16,22.977358261565904
2,2017-10-03,32.963879063794245
2,2017-10-16,32.21510897338874
2,2017-10-30,33.00705513439295
2,2017-10-31,31.86948691316945
2,2017-11-06,29.155420754369374
2,2017-11-07,27.96700627007501
2,2017-11-13,26.931865570466112
2,2017-11-20,28.053691120925002
2,2017-11-27,28.48607517993526
2,2017-11-28,29.89945977576388
2,2017-12-05,28.75618583952094
2,2017-12-29,17.06427274639897
2,2018-01-25,9.527767797846861
2,2018-02-23,-3.874923640907503
2,2018-03-13,-2.585518716887199
2,2018-04-16,5.955509289705717
2,2018-05-02,3.688293277689478
2,2018-05-07,6.455637512803948
2,2018-05-11,8.250837093074985
2,2018-05-23,9.604576980864707
2,2018-05-25,13.731844145754678
2,2018-06-08,20.92004574677206
2,2018-07-16,31.915869877118936
2,2018-10-19,27.701383960482694
2,2018-10-25,30.33626331706886
2,2018-10-26,28.837180257305675
2,2018-11-29,26.500052915826906
2,2018-12-10,25.257743185354023
2,2018-12-19,22.675914881315595
2,2018-12-25,21.070688444354516
2,2018-12-27,21.256410699252523
2,2019-01-04,16.620432361313078
2,2019-01-11,12.946815430088698
2,2019-01-15,10.099571324374134
2,2019-01-16,5.084144523124853
2,2019-01-21,1.2942057251329366
2,2019-01-22,-1.1014270087359272
2,2019-01-24,3.2687627198222007
2,2019-01-28,-2.5060830185354472
2,2019-02-22,-11.307520513598178
2,2019-05-31,19.606819310594457
2,2019-06-12,21.974696243166488
2,2019-06-21,27.000464473453384
2,2019-06-25,33.82767472557493
2,2019-06-27,34.856628916918204
2,2019-06-28,31.282611378762574
2,2019-08-28,31.5875703563502
2,2019-12-24,23.255744094941818
2,2019-12-30,21.476279431739812
2,2020-01-07,18.151590734256413
2,2020-01-08,14.629593483112007
2,2020-01-31,2.8457933107275983
2,2020-02-12,-0.9214264383879702
2,2020-02-13,-2.6335393236787357
2,2020-02-28,-1.3015916792239315
2,2020-03-02,1.1073284704657658
2,2020-03-03,-1.4432049710792012
2,2020-03-06,0.11488335365698887
2,2020-03-09,5.590227322373757
2,2020-03-11,13.467013741703214
2,2020-03-12,17.08846797632044
2,2020-03-13,21.467404663443414
2,2020-03-18,22.835371776359796
2,2020-03-19,30.943297752935823
2,2020-03-24,21.90075220871058
2,2020-04-06,21.09652593792969
2,2020-04-08,11.25804728173651
2,2020-04-14,15.318657768089682
2,2020-06-18,27.775724349970933
2,2020-06-25,33.28382176386726
2,2020-10-26,23.484117874985433
2,2020-11-17,28.85832281969136
2,2020-11-18,25.93598271172521
2,2020-12-03,19.0510662716654
2,2020-12-04,22.21937635949601
2,2020-12-10,26.18782369844592
2,2020-12-14,22.642293598809363
2,2021-01-15,2.6907093651384852
2,2021-02-19,-11.128292217163509
2,2021-02-22,-14.139230004084087
2,2021-02-26,-18.270385829671078
2,2021-03-01,-21.915476541035993
2,2021-03-08,-17.966631339621188
2,2021-03-18,-16.121237792326784
2,2021-04-15,-9.46744108505171
2,2021-05-07,-5.445204131258498
2,2021-06-23,10.999209640467706
2,2021-07-13,17.839428226380665
2,2021-07-14,23.013343794255235
2,2021-07-15,17.338521624525406
2,2021-10-28,31.015322760916906
2,2021-11-01,29.430774851187266
2,2021-11-04,25.34097153275146
2,2021-11-17,22.57969783293939
2,2021-11-18,17.184432646039937
2,2021-12-03,9.599484143999248
2,2022-01-13,2.291942141302105
2,2022-02-23,-19.521122788929397
2,2022-03-07,-20.440859823987363
2,2022-05-03,9.04314565787737
2,2022-05-12,18.75165257112
2,2022-06-29,29.986934704930057
2,2022-06-30,24.1096623123176
2,2022-08-29,34.85321174598617
2,2022-08-30,40.025161464377796
2,2022-08-31,48.01173459818862
2,2022-09-01,52.61635073194562
2,2022-10-03,37.42559701310223
2,2022-12-01,37.489018451842206
2,2023-01-06,20.187785238261434
2,2023-02-27,-4.781288791541037
2,2023-02-28,-8.439348559003218
2,2023-03-09,-6.3645580197366005
2,2023-03-10,-2.7152821793711217
2,2023-03-17,1.8684353705629722
2,2023-03-23,4.29790275243416
2,2023-07-24,31.230112833430194
2,2023-07-27,35.637064332173686
2,2023-10-24,35.20286967287046
2,2023-10-26,33.22588413523881
2,2024-01-19,9.717947782676282
2,2024-01-22,8.234015529639285
2,2024-01-29,4.493444271587439
2,2024-02-12,0.4372051631892857
2,2024-02-15,-2.412143885925119
2,2024-02-23,-8.171521097107847
2,2024-02-26,-9.646087196058135
2,2024-02-27,-11.264571880230069
2,2024-05-31,16.683970437535855
2,2024-06-04,18.728075547359047
2,2024-06-28,26.16131808907156
2,2024-07-31,30.53884737983711
2,2024-08-01,33.61274239119544
2,2024-08-02,36.524919780508526
2,2024-10-14,20.535814964769934
2,2024-10-15,18.63686769954682
2,2024-10-24,16.08954197021367
2,2024-11-13,16.277708100192307
2,2024-11-25,13.807298835926323
2,2024-12-24,16.29213887180787
5,2010-01-29,29.091376273909383
5,2010-03-11,20.549187027273987
5,2010-05-20,42.01698894074116
5,2010-05-21,44.73968852871833
5,2010-05-24,46.95658618664809
5,2010-05-25,49.65279491315212
5,2010-05-26,46.16041523707988
5,2010-06-24,35.26762331447146
5,2010-06-25,38.02213932024077
5,2010-10-13,35.49254054736724
5,2010-11-02,35.40152487088752
5,2010-12-09,31.65355585431132
5,2011-01-31,21.117897970828782
5,2011-02-18,20.774170407403453
5,2011-03-04,18.18227218246603
5,2011-03-10,16.165227420317773
5,2011-03-14,12.17839552225947
