# Strategy 3 state estimates
# Columns: date, tenor, mu_{filtered/smoothed}, epsilon_{filtered/smoothed}, regime probabilities
date,tenor,mu_smoothed,mu_filtered,epsilon_smoothed,epsilon_filtered,regime_0_prob,regime_1_prob
2013-03-26,20,22.721969393300263,18.46084592497637,-5.960102617288577,-1.698979148964682,0.028271501451269783,0.9717284985487418
2013-03-27,20,22.840310642655783,18.7933495476913,-4.3728764446495525,-0.32591534968506863,0.031143541777528014,0.9688564582224836
2013-03-28,20,22.90408612448341,18.859637587210997,-4.389432746604324,-0.344984209331912,0.01190010487444473,0.9880998951255666
2013-03-29,20,22.982281509255497,19.00201151499988,-3.844567566517039,0.135702427738579,0.010217491717139626,0.9897825082828718
2013-04-01,20,23.052959917503205,19.162133877683342,-3.2921854099053753,0.5986406299144882,0.01461943984989332,0.9853805601501182
2013-04-02,20,23.064300309929997,19.02930001711906,-4.079942228094989,-0.04494193528405077,0.01651189491967392,0.9834881050803376
2013-04-03,20,23.08820104007411,18.96185076714177,-4.306493528037471,-0.18014325510512919,0.021330244270384546,0.9786697557296269
2013-04-04,20,23.0993132382141,18.764936637626548,-5.172376152370411,-0.8379995517828576,0.0391098320472854,0.960890167952726
2013-04-05,20,23.18447502765975,18.87502373582138,-4.546870861756652,-0.23741956991828062,0.0946200230833507,0.9053799769166606
2013-04-08,20,23.317045053877056,19.376226653969386,-2.424209329899096,1.516609070008574,0.32795279897010565,0.6720472010299056
2013-04-09,20,23.262419952157593,18.904976792142552,-5.043743688982325,-0.6863005289672834,0.36033273653626635,0.6396672634637449
2013-04-10,20,23.307618813164048,18.93951914366315,-4.509631089137727,-0.1415314196368307,0.2090413229701823,0.7909586770298291
2013-04-11,20,23.3034582858324,18.658164559249453,-5.839905720126076,-1.1946119935431305,0.12815612058167217,0.8718438794183392
2013-04-12,20,23.389169381352755,18.735916499857947,-5.281139296621394,-0.6278864151265857,0.12373780159611122,0.8762621984038999
2013-04-15,20,23.546819430122127,19.26348318618978,-3.0178309399305476,1.265505304001799,0.2448792083446438,0.7551207916553674
2013-04-16,20,23.584587148488378,19.31382907262316,-3.3095951119198155,0.9611629639454016,0.24019450316787036,0.7598054968321408
2013-04-17,20,23.52431415952121,18.764763097834187,-5.890240881353563,-1.1306898196665394,0.345332570246738,0.6546674297532731
2013-04-18,20,23.611739647066877,18.960627949767307,-4.563593635726754,0.0875180615728155,0.30026836660632844,0.6997316333936826
2013-04-19,20,23.636452835935557,18.776194311622582,-5.613846211176476,-0.7535876868635007,0.28263750139410276,0.7173624986059083
2013-04-22,20,23.757016732564427,18.918384704068952,-4.8878799049804975,-0.0492478764850226,0.40712313250396903,0.592876867496042
2013-04-23,20,24.02391004372649,20.085468802673237,0.1704607274824319,4.108901968535687,0.9999650297690477,3.497023096333391e-05
2013-04-24,20,23.92147377710618,19.398953229219075,-4.06257097946801,0.45994956841909485,0.9968150049813339,0.003184995018676885
2013-04-25,20,23.949255707387476,19.254769831906813,-4.2132114245776044,0.481274450903058,0.6169608999703954,0.3830391000296155
2013-04-26,20,24.04671075122896,19.568085514851834,-2.7504497939936137,1.7281754423835132,0.6194269661216331,0.3805730338783778
2013-04-29,20,23.99458399069576,19.101572462728797,-5.203584198147411,-0.31057267018044854,0.5531091502299788,0.44689084977003196
2013-04-30,20,24.021524812524248,18.887805836221474,-5.828190960878246,-0.6944719845754719,0.2735210800280034,0.7264789199720072
2013-05-01,20,24.176489158964976,19.374813581732873,-3.5072518649562525,1.2944237122758508,0.29709462972399103,0.7029053702760196
2013-05-02,20,24.222380716913054,19.341489183123556,-4.164825788889523,0.716065744899975,0.09513792408170386,0.9048620759183069
2013-05-03,20,24.27864033543441,19.35618859759395,-4.154419246714589,0.7680324911258722,0.05215736142847618,0.9478426385715345
2013-05-06,20,24.33321181703815,19.286562267794494,-4.577334297992767,0.46931525125089024,0.05905754559144866,0.940942454408562
2013-05-07,20,24.47398397821105,19.614262488422906,-3.152049086637202,1.7076724031509407,0.15275863366268094,0.8472413663373297
2013-05-08,20,24.629524882286802,19.894099960296852,-2.344457214948733,2.3909677070412165,0.321476135256481,0.6785238647435297
2013-05-09,20,24.93225012422717,21.28143148365585,3.490563391417801,7.141382031989121,0.9999994364422856,5.635577248084553e-07
2013-05-10,20,24.779828270955704,20.427418156795305,-1.7803463654433358,2.5720637487170634,0.9999756522855182,2.4347714492090044e-05
2013-05-13,20,24.73688671859783,19.961183631621456,-3.309864800863025,1.4658382861133497,0.85639541192561,0.1436045880744005
2013-05-14,20,24.8210536272178,20.237206378508656,-1.7815954366187796,2.802251812090365,0.8749887517127086,0.12501124828730176
2013-05-15,20,24.73391126408406,19.605491528456007,-4.98317716270153,0.14524257292652365,0.8673758871151195,0.13262411288489095
2013-05-16,20,24.75152558972694,19.410026393507962,-5.395141485974463,-0.05364228975548713,0.26348893762670916,0.7365110623733011
2013-05-17,20,24.82152580307418,19.389145402007124,-5.3984949205459,0.03388548052115681,0.1327263954083054,0.8672736045917048
2013-05-20,20,24.971143534930754,19.78188577569166,-3.701282447041514,1.4879753121975803,0.16311820793634152,0.8368817920636686
2013-05-21,20,25.08155600222434,19.947259414823304,-3.4269881191906073,1.707308468210428,0.1853703324372644,0.8146296675627457
2013-05-22,20,25.24857481748926,20.281034783832215,-2.2450443815437673,2.7224956521132775,0.3958269453205645,0.6041730546794458
2013-05-23,20,25.539251171950326,21.592943685755557,3.1921307015443006,7.1384381877390695,0.9999963355008128,3.664499197681443e-06
2013-05-24,20,25.395408041879097,20.717131960504855,-2.126432371602693,2.55184370977155,0.9998594690985916,0.00014053090141886892
2013-05-27,20,25.41093232262036,20.55233385915223,-2.29025771925739,2.56834074421074,0.3319538564745947,0.6680461435254157
2013-05-28,20,25.456100221272113,20.51391766755069,-2.4837266848225745,2.4584558688988487,0.16811538253780967,0.8318846174622008
2013-05-29,20,25.51139068794543,20.517955052600215,-2.5894896994370207,2.403945935908194,0.16157486301237478,0.8384251369876357
2013-05-30,20,25.56985850731325,20.427420203927333,-3.1722196909660667,1.970218612419849,0.28513094126322713,0.7148690587367831
2013-05-31,20,25.753078487456794,21.048620650476508,-0.465506911298764,4.238950925681522,0.8057176683785862,0.1942823316214245
2013-06-03,20,25.80082041831897,20.85703405235203,-2.0948945391495144,2.8488918268174253,0.8455288647712583,0.15447113522875233
2013-06-04,20,26.055583638757092,21.794362349002313,2.061560559652527,6.322781849407306,0.9974641496201275,0.0025358503798831524
2013-06-05,20,26.146372180234103,21.88676196870575,1.365711219851157,5.625321431379511,0.8110352057344979,0.18896479426551271
2013-06-06,20,26.334479714245447,22.55761166600207,3.9972854665900286,7.774153514833404,0.8689027255939239,0.13109727440608676
2013-06-07,20,26.39584838356323,22.632780991905506,3.4114140377098607,7.174481429367585,0.6439045941471169,0.356095405852894
2013-06-10,20,26.46373654441026,22.59436480925639,2.8071978012962475,6.676569536450117,0.6540319753194906,0.3459680246805202
2013-06-11,20,26.700293450956835,23.357040512575146,5.883461339068575,9.226714277450263,0.9656065202477939,0.03439347975221662
2013-06-12,20,26.94514955178881,24.246264005208463,8.773456995563656,11.472342542144002,0.971036326638953,0.028963673361057582
2013-06-13,20,27.1158719217292,24.846765680232156,10.19449192328863,12.463598164785676,0.7086117601250783,0.2913882398749323
2013-06-14,20,27.23921726387981,25.249134923408324,10.93743403783806,12.927516378309544,0.37758096804779395,0.6224190319522167
2013-06-17,20,27.348953963262765,25.683058479075925,11.986008512151962,13.651903996338802,0.26997321536303165,0.7300267846369789
2013-06-18,20,27.360024192971267,25.672437683019066,11.004896508785393,12.692483018737594,0.08069120045016205,0.9193087995498486
2013-06-19,20,27.351369003933264,25.56690887901913,10.008455332393844,11.792915457307977,0.03313881861276744,0.9668611813872432
2013-06-20,20,27.341463879947867,25.435545525683818,9.008370516577315,10.914288870841364,0.020081714537733653,0.979918285462277
2013-06-21,20,27.349696905233976,25.34334592913877,8.230240036313681,10.236591012408887,0.021109023950345574,0.978890976049665
2013-06-24,20,27.40778563259843,25.58557679370618,8.956806591073732,10.77901542996598,0.059835660257843946,0.9401643397421667
2013-06-25,20,27.35178390655838,25.21055505850718,6.620741935253847,8.761970783305049,0.09987713346074932,0.9001228665392612
2013-06-26,20,27.38307085045706,25.18079459072937,6.400826974437948,8.603103234165637,0.09857165288808628,0.9014283471119243
2013-06-27,20,27.485838415159016,25.576941130220206,7.815751582561425,9.724648867500235,0.22183237164400887,0.778167628356002
2013-06-28,20,27.491224158830125,25.42013993129654,6.351594034535747,8.422678262069333,0.3083711931462831,0.6916288068537277
2013-07-01,20,27.60810905015221,25.921132213766835,8.353759353077024,10.040736189462397,0.602168066278488,0.3978319337215229
2013-07-02,20,27.57736362890945,25.904328025376273,7.478614736023463,9.151650339556639,0.6751235630205915,0.32487643697941937
2013-07-03,20,27.341379474783043,24.46090570734796,0.6230125734599987,3.5034863408950834,0.9999999889838453,1.1016165333420466e-08
2013-07-04,20,27.61300787661442,25.352748848336024,5.559785537836557,7.820044566114955,0.9999998814334777,1.1856653285760902e-07
2013-07-05,20,27.953148363081993,26.69727853073023,10.42804641757693,11.683916249928693,0.9999999308261269,6.917388374563334e-08
2013-07-08,20,28.182155831303472,27.921417956932896,14.31261219374188,14.573350068112457,0.9999978498749404,2.150125070336516e-06
2013-07-09,20,27.980106536580607,26.87482323212684,8.02299452002471,9.128277824478477,0.9999915824411846,8.417558825974764e-06
2013-07-10,20,28.051628974729898,27.12882992302995,9.626556884081662,10.549355935781609,0.8245453590690257,0.17545464093098503
2013-07-11,20,28.101746550289224,27.29998968223003,9.730346449849346,10.53210331790854,0.4042862807929376,0.595713719207073
2013-07-12,20,28.13740916417938,27.433786089629123,9.74368669636867,10.447309770918928,0.3105997544231455,0.6894002455768651
2013-07-15,20,28.141671870275935,27.307774825278585,8.611626158186446,9.445523203183797,0.3402343395716211,0.6597656604283897
2013-07-16,20,28.27649524084834,27.96152826231608,11.240475092569142,11.555442071101403,0.6392062806166334,0.36079371938337723
2013-07-17,20,28.2303874629339,27.759762544827204,9.329683461901926,9.800308380008623,0.3352897956160423,0.6647102043839684
2013-07-18,20,28.19107502143711,27.47747529436297,7.816996559191669,8.530596286265808,0.1681482299356833,0.8318517700643275
2013-07-19,20,28.275248655083814,27.860005155051702,9.399033719451907,9.814277219484019,0.18122507226024484,0.8187749277397658
2013-07-22,20,28.26656135655862,27.808293203284673,8.446456241643588,8.904724394917533,0.058003448466598606,0.9419965515334121
2013-07-23,20,28.25734076626675,27.73880716381212,7.808374748266019,8.32690835072065,0.030755534074036715,0.9692444659259741
2013-07-24,20,28.263596449815562,27.7198627380983,7.428911553433299,7.972645265150561,0.04209222966822128,0.9579077703317898
2013-07-25,20,28.294706342008396,27.9109173626731,7.9763353364267005,8.360124315761997,0.12783835240025793,0.872161647599753
2013-07-26,20,28.22003843842557,27.64476728695152,6.308316114879268,6.883587266353317,0.34451082831715807,0.6554891716828528
2013-07-29,20,28.09245186465143,26.997098182223333,3.3537344660188566,4.449088148446954,0.6880219731494241,0.3119780268505868
2013-07-30,20,28.101905033899218,26.858568619577568,3.0515935923625896,4.29493000668424,0.6878263297219128,0.3121736702780981
2013-07-31,20,28.260746457089926,27.62496715445787,6.40372584745425,7.039505150086306,0.9786177776938141,0.02138222230619695
2013-08-01,20,28.197886678274838,27.40895206914333,4.535715112702551,5.32464972183406,0.8437220520110787,0.1562779479889321
2013-08-02,20,28.065622306225094,26.753659323325785,1.5728768444519972,2.884839827351307,0.7105137117740407,0.28948628822597
2013-08-05,20,28.047177757651063,26.663639909954597,1.595418269526256,2.9789561172227224,0.3416252118940376,0.6583747881059732
