tenor,series,rho,rho_se,rho_ci_lo,rho_ci_hi,hl_ar1_days,hl_event_days,sample_size,notes
2,arb,0.9910763703558195,0.0015980773170288273,0.9879441963699326,0.9942085443417065,77.32838468141672,4.924413504761189,3717,
2,m,0.8267881485821614,0.012780023925880611,0.8017397619658753,0.8518365351984476,3.6441769375148994,5.008069965891567,3717,
5,arb,0.9960084074018972,0.0010673844203187885,0.9939163723804132,0.9981004424233813,173.30498061209616,4.126868702209226,3752,
5,m,0.7734991825234399,0.02110171901753081,0.7321405732371955,0.8148577918096842,2.69884898026983,2.31391653453546,3752,
10,arb,0.9965715481359458,0.0009950671646269146,0.9946212523310787,0.998521843940813,201.82820614249405,3.761238874213483,3752,
10,m,0.74434392703361,0.03003747087934388,0.6854715659234253,0.8032162881437946,2.3476453492754725,3.805997684207514,3752,
20,arb,0.9966292138033365,0.0009993335948142174,0.9946705559489597,0.9985878716577132,205.28691447584222,3.6283163319474596,3752,
20,m,0.7968999505236163,0.016671986252783887,0.764223457917413,0.8295764431298196,3.0531602155202098,3.2613858165670786,3752,
