date,tenor,arb,arb_w,m,m_w
2010-01-04,2,43.53460917889461,42.84497444627654,0.0,0.0
2010-01-05,2,39.490811383053895,39.490811383053895,-3.658674196236838,-3.0347189619633426
2010-01-06,2,38.344763627218285,38.344763627218285,-4.3471293852084045,-3.7825984589609547
2010-01-07,2,30.474541759293317,30.474541759293317,-11.053793990930195,-10.543027914801549
2010-01-08,2,40.81044888427199,40.81044888427199,-0.6495166882418459,-0.18739500031593082
2010-01-11,2,31.820939088222914,31.820939088222914,-8.721023961977501,-8.302913863377867
2010-01-12,2,29.923189307052837,29.923189307052837,-9.6074619580859,-9.229171868876712
2010-01-13,2,30.97096872134442,30.97096872134442,-7.744474682480572,-7.402212220815116
2010-01-14,2,39.28452182613063,39.28452182613063,0.514880477324148,0.824546514069084
2010-01-15,2,27.930815788836938,27.930815788836938,-9.806556459020058,-9.526382425774642
2010-01-19,2,27.749018245173403,27.749018245173403,-9.037082192904208,-8.783591400920258
2010-01-20,2,26.68573677504061,26.68573677504061,-9.138424266557287,-8.909075454762288
2010-01-21,2,28.53175700134436,28.53175700134436,-6.597889369753197,-6.390383301938677
2010-01-22,2,27.229240750754627,27.229240750754627,-7.147986037453123,-6.960242452287609
2010-01-25,2,28.904871210391207,28.904871210391207,-4.951178856119732,-4.781315612398551
2010-01-26,2,30.046054893821946,30.046054893821946,-3.4471384895757566,-3.293452697637548
2010-01-27,2,30.160959310470133,30.160959310470133,-3.0148784469344676,-2.87582939708561
2010-01-28,2,28.433041143902656,28.433041143902656,-4.29110169793033,-4.165295414733748
2010-01-29,2,28.105831260740743,28.105831260740743,-4.178472382892977,-4.064647650477028
2010-02-01,2,26.78759012797238,26.78759012797238,-4.97321699036026,-4.870232708650594
2010-02-02,2,23.302018176951663,23.302018176951663,-7.653189994582789,-7.560013739702615
2010-02-03,2,22.55687095986447,22.55687095986447,-7.598495572463317,-7.5141932466193495
2010-02-04,2,24.497191572856465,24.497191572856465,-5.119301153807385,-5.04302762090094
2010-02-05,2,22.132923195796735,22.132923195796735,-6.7708486231654845,-6.70183923625013
2010-02-08,2,21.413713137974355,21.413713137974355,-6.776719758989021,-6.714282694637031
2010-02-09,2,21.152283340839517,21.152283340839517,-6.367849598397775,-6.311358921126931
2010-02-10,2,18.28792308748328,18.28792308748328,-8.352951770634586,-8.301841157865727
2010-02-11,2,18.91762942804354,18.91762942804354,-6.987698246257722,-6.941455310895421
2010-02-12,2,18.922053633634306,18.922053633634306,-6.318200322508197,-6.276361476228022
2010-02-16,2,18.425984301642103,18.425984301642103,-6.16529159216703,-6.127437397913539
2010-02-17,2,19.26188500689375,19.26188500689375,-4.821829850066301,-4.787580817170284
2010-02-18,2,19.279913371519356,19.279913371519356,-4.346296582065392,-4.315309361826138
2010-02-19,2,18.537270719305454,18.537270719305454,-4.604278354824125,-4.576242298417181
2010-02-22,2,12.95686779614779,12.95686779614779,-9.21471163245971,-9.189345676662953
2010-02-23,2,12.979203338998602,12.979203338998602,-8.31691170012234,-8.293961549639558
2010-02-24,2,12.998664680179417,12.998664680179417,-7.5072169914232845,-7.486452569557912
2010-02-25,2,11.946577879415884,11.946577879415884,-7.744132002454737,-7.7253451445765435
2010-02-26,2,12.581370834099374,12.581370834099374,-6.432259138459699,-6.415261505141334
2010-03-01,2,11.531635501631513,11.531635501631513,-6.76942356893446,-6.7540447578368905
2010-03-02,2,10.481243849547184,10.481243849547184,-7.075070914255097,-7.061156751833483
2010-03-03,2,11.1173234036155,11.1173234036155,-5.825754087788038,-5.813165083692294
2010-03-04,2,11.419005473702896,11.419005473702896,-4.997969920776772,-4.986579869452051
2010-03-05,2,6.069112058335591,6.069112058335591,-9.362352542225592,-9.352047257693702
2010-03-08,2,5.0170000483573745,5.0170000483573745,-9.422610785327256,-9.41328695646507
2010-03-09,2,6.409573374595027,6.409573374595027,-7.265271986795357,-7.256836141634331
2010-03-10,2,4.028226783951979,4.028226783951979,-8.727892998634747,-8.720260567298581
2010-03-11,2,2.7277346446896757,2.7277346446896757,-9.073300839049711,-9.066395305936037
2010-03-12,2,4.31773422135295,4.31773422135295,-6.770605904063919,-6.764358040770595
2010-03-15,2,1.9258256916043734,1.9258256916043734,-8.28989401154464,-8.28424118285068
2010-03-16,2,0.04720655844447208,0.04720655844447208,-9.200083321399347,-9.194968857342907
2010-03-17,2,-1.0792751173438546,-1.0792751173438546,-9.343082616503134,-9.338455244261592
2010-03-18,2,-0.2375895496586935,-0.2375895496586935,-7.691740187025784,-7.687553516902485
2010-03-19,2,0.6184188904478845,0.6184188904478845,-6.184709675784044,-6.180921736148677
2010-03-22,2,0.2274216802144906,0.2274216802144906,-5.94944908734911,-5.946021903869492
2010-03-23,2,4.510091995386645,4.510091995386645,-1.5080379367315313,-1.5049371516785435
2010-03-24,2,-1.0706003089322422,-1.0706003089322422,-6.413613075236094,-6.410807603045295
2010-03-25,2,0.14074688699405158,0.14074688699405158,-4.7068119860422,-4.704273701679096
2010-03-26,2,1.7830165709420385,1.7830165709420385,-2.772681130466193,-2.7703845874710034
2010-03-29,2,1.8419327929786249,1.8419327929786249,-2.4553111076267866,-2.453233283012091
2010-03-30,2,5.372846533140418,5.372846533140418,0.9731642865792915,0.9750442231354448
2010-03-31,2,9.043601873741636,9.043601873741636,4.201641567449033,4.2033424624284095
2010-04-01,2,5.941080967899467,5.941080967899467,0.9944425033585915,0.9959814083399321
2010-04-02,2,6.096581482486485,6.096581482486485,1.0404246352841229,1.0418169778862882
