event_type,window,tenor,n_shocks,hl_event_days_p50,hl_event_days_p25,hl_event_days_p75,ar1_hl_days_p50
cpi_release,1,2,2,0.26836532721303746,0.14383657623744334,0.39289407818863165,
cpi_release,1,5,0,,,,
cpi_release,1,10,2,2.2839025941844096,2.2839025941844096,2.2839025941844096,
cpi_release,1,20,4,50.46625328800864,3.6060204715384034,97.85658720847232,
cpi_release,3,2,2,129.57403886851608,123.55310133011002,135.59497640692217,
cpi_release,3,5,0,,,,
cpi_release,3,10,2,84.87522990503794,43.57307655457294,126.17738325550295,
cpi_release,3,20,4,22.922427025374645,3.63433723764682,46.073278782916404,
cpi_release,5,2,2,89.82693445256007,80.77956806234064,98.87430084277949,
cpi_release,5,5,0,,,,
cpi_release,5,10,2,71.33715253515642,36.836962603984134,105.83734246632869,
cpi_release,5,20,4,5.269443256339946,3.9035023983147594,47.57475160794999,
cpi_release,10,2,2,75.57936801166035,42.365883102173,108.7928529211477,3.7610170718760756
cpi_release,10,5,0,,,,
cpi_release,10,10,2,87.01635535346287,44.149174738904826,129.8835359680209,2.283399335450634
cpi_release,10,20,4,5.824753861325638,4.028450721530525,7.9594971134075205,3.7446077790225805
fomc_minutes,1,2,0,,,,
fomc_minutes,1,5,1,,,,
fomc_minutes,1,10,2,0.7775026246675973,0.6284467287565892,0.9265585205786055,
fomc_minutes,1,20,2,106.57611239375763,103.42633430195148,109.72589048556375,
fomc_minutes,3,2,0,,,,
fomc_minutes,3,5,1,117.4167110590316,117.4167110590316,117.4167110590316,
fomc_minutes,3,10,2,0.10716544585720464,0.06623500409059538,0.14809588762381393,
fomc_minutes,3,20,2,22.17476672264322,12.422820932000121,31.926712513286322,
fomc_minutes,5,2,0,,,,
fomc_minutes,5,5,1,161.44119679135545,161.44119679135545,161.44119679135545,
fomc_minutes,5,10,2,73.51323217172512,41.61665466539186,105.40980967805838,
fomc_minutes,5,20,2,3.936441181521027,3.069175716941243,4.80370664610081,
fomc_minutes,10,2,0,,,,
fomc_minutes,10,5,1,14.766483889418058,14.766483889418058,14.766483889418058,0.9416200561713131
fomc_minutes,10,10,2,92.46684396521646,52.33209039989487,132.60159753053804,4.1419100231955275
fomc_minutes,10,20,2,4.307233773052334,3.0576416233022243,5.556825922802444,3.50570605991324
fomc_statement,1,2,4,1.3157965411271118,1.0417853089410747,23.644455264241817,
fomc_statement,1,5,6,0.8855222606745813,0.6414205732103035,1.245679829976343,
fomc_statement,1,10,3,0.47096417848929173,0.4669898290818245,47.44491396609924,
fomc_statement,1,20,2,1.1832881371902713,0.7749467338227449,1.5916295405577978,
fomc_statement,3,2,4,0.9328007063358915,0.017074927595293554,35.042570995138625,
fomc_statement,3,5,6,0.5518309389533386,0.02435283149691106,4.507566939703649,
fomc_statement,3,10,3,92.56096752714774,46.287218043164025,132.73750155540978,
fomc_statement,3,20,2,2.658555826825043,1.4276388659446286,3.8894727877054573,
fomc_statement,5,2,4,0.6174940569019666,0.011360735934030515,35.06691871482557,
fomc_statement,5,5,6,32.395362532129624,0.587403686055987,94.61371386064376,
fomc_statement,5,10,3,17.938046136706937,8.981334400253235,95.58457903757929,
fomc_statement,5,20,2,54.811357746261145,27.593607856858497,82.02910763566379,
fomc_statement,10,2,4,49.377529307417504,26.46345622296981,72.96967174082309,1.7642254947059581
fomc_statement,10,5,6,3.59864563869362,0.28470223963772756,23.32812256444067,6.7354266737687665
fomc_statement,10,10,3,2.3183784277768202,2.2983387003325575,2.8075670007691045,1.7612339876402585
fomc_statement,10,20,2,54.36279452024794,27.407341435280216,81.31824760521566,0.6300099573280814
tips_auction,1,2,1,114.48499417190186,114.48499417190186,114.48499417190186,
tips_auction,1,5,1,0.7767835836433509,0.7767835836433509,0.7767835836433509,
tips_auction,1,10,2,92.20419608147934,92.20419608147934,92.20419608147934,
tips_auction,1,20,3,0.7030782025408424,0.4275450119936582,1.7397164921933033,
tips_auction,3,2,1,105.5751206243953,105.5751206243953,105.5751206243953,
tips_auction,3,5,1,0.7865493367441153,0.7865493367441153,0.7865493367441153,
tips_auction,3,10,2,87.17262505698484,47.0191692824933,127.32608083147639,
tips_auction,3,20,3,0.02268577377518907,0.01598707650186449,1.03072374195144,
tips_auction,5,2,1,8.247775639550541,8.247775639550541,8.247775639550541,
tips_auction,5,5,1,0.013852100352411311,0.013852100352411311,0.013852100352411311,
tips_auction,5,10,2,70.17351702603897,35.09150934030796,105.25552471176997,
tips_auction,5,20,3,3.3078924735374304,2.1590794303992897,88.29094137903593,
tips_auction,10,2,1,61.34758907747393,61.34758907747393,61.34758907747393,4.432528177249159
tips_auction,10,5,1,119.66126946382285,119.66126946382285,119.66126946382285,
tips_auction,10,10,2,155.86658266862372,147.4245157116461,164.30864962560133,
tips_auction,10,20,3,1.5845339358259416,0.8011987410807159,87.3053375691258,30.961573572785575
treasury_refunding,1,2,3,1.4985809167576807,1.3157965411271118,45.790329611725944,
treasury_refunding,1,5,3,0.6166976112714938,0.6141750350563522,0.7585438858489024,
treasury_refunding,1,10,2,46.08866264890162,23.279813413695454,68.89751188410779,
treasury_refunding,1,20,1,0.36660533045521837,0.36660533045521837,0.36660533045521837,
treasury_refunding,3,2,3,1.8455421388841802,0.9268320139512729,68.23959985139308,
treasury_refunding,3,5,3,0.024387218100367033,0.02396251457288898,0.02559255547588924,
treasury_refunding,3,10,2,132.7833034788984,112.67213550302307,152.89447145477374,
treasury_refunding,3,20,1,0.1967219050642142,0.1967219050642142,0.1967219050642142,
treasury_refunding,5,2,3,1.2223357362770444,0.6149107737162502,68.91150169337409,
