tenor,cfg_id,span,winsor,demean,detrend,subperiod,hl_ar1_days,rho,notes
2,cfg_001,10,False,none,False,full,1.5794086852031701,0.6447678223380617,
2,cfg_002,10,False,none,False,pre_2022,1.5593301256546175,0.6411345139895773,
2,cfg_003,10,False,none,False,2022_plus,1.6583506838097495,0.6583794604651949,
2,cfg_004,10,False,none,True,full,1.5788579150378923,0.6446691197797639,
2,cfg_005,10,False,none,True,pre_2022,1.5586266074595858,0.6410058887405473,
2,cfg_006,10,False,none,True,2022_plus,1.6583958246019581,0.658386950930762,
2,cfg_007,10,False,monthly,False,full,0.7362907031837012,0.39007969000597364,
2,cfg_008,10,False,monthly,False,pre_2022,0.6965989087822635,0.36970685015588634,
2,cfg_009,10,False,monthly,False,2022_plus,0.8938700982788371,0.4604987710777136,
2,cfg_010,10,False,monthly,True,full,0.7362907273373506,0.39007970205253,
2,cfg_011,10,False,monthly,True,pre_2022,0.6965989382393989,0.36970686571224265,
2,cfg_012,10,False,monthly,True,2022_plus,0.8938700797590496,0.46049876367925713,
2,cfg_013,10,True,none,False,full,1.6078534203860033,0.6497932932203448,
2,cfg_014,10,True,none,False,pre_2022,1.6017216741684166,0.6487217911082795,
2,cfg_015,10,True,none,False,2022_plus,1.6328733703870362,0.6540997822213778,
2,cfg_016,10,True,none,True,full,1.6073080596720333,0.6496982530520979,
2,cfg_017,10,True,none,True,pre_2022,1.6010330243138697,0.648601050142263,
2,cfg_018,10,True,none,True,2022_plus,1.6329173023515802,0.6541072524840463,
2,cfg_019,10,True,monthly,False,full,0.7288790960978054,0.3863634020714363,
2,cfg_020,10,True,monthly,False,pre_2022,0.7107712456946227,0.3771152981490326,
2,cfg_021,10,True,monthly,False,2022_plus,0.8053452543354211,0.422873050488816,
2,cfg_022,10,True,monthly,True,full,0.7288791538326085,0.38636343117513083,
2,cfg_023,10,True,monthly,True,pre_2022,0.7107713172066461,0.3771153351505007,
2,cfg_024,10,True,monthly,True,2022_plus,0.805345214668468,0.42287303256212566,
2,cfg_025,20,False,none,False,full,3.637292304309485,0.8264905405306301,
2,cfg_026,20,False,none,False,pre_2022,3.5994279218595664,0.824835352626977,
2,cfg_027,20,False,none,False,2022_plus,3.7836765700557056,0.8326065406706544,
2,cfg_028,20,False,none,True,full,3.6350504858154458,0.8263934113724297,
2,cfg_029,20,False,none,True,pre_2022,3.5965092618127104,0.8247064601286002,
2,cfg_030,20,False,none,True,2022_plus,3.784068502894328,0.8326223388870017,
2,cfg_031,20,False,monthly,False,full,1.0043537991014222,0.5015046301457504,
2,cfg_032,20,False,monthly,False,pre_2022,0.9587580310670277,0.48531184083136597,
2,cfg_033,20,False,monthly,False,2022_plus,1.1883810852454908,0.5580704210369708,
2,cfg_034,20,False,monthly,True,full,1.0043539101598677,0.5015046684175174,
2,cfg_035,20,False,monthly,True,pre_2022,0.9587581790935281,0.4853118950024776,
2,cfg_036,20,False,monthly,True,2022_plus,1.1883810226362646,0.5580704038878698,
2,cfg_037,20,True,none,False,full,3.7458926875685985,0.8310694434620467,
2,cfg_038,20,True,none,False,pre_2022,3.7134750962362983,0.8297280476476883,
2,cfg_039,20,True,none,False,2022_plus,3.877789568474368,0.8363166136835393,
2,cfg_040,20,True,none,True,full,3.7436692790438735,0.8309781151626114,
2,cfg_041,20,True,none,True,pre_2022,3.710612205810711,0.8296085639644667,
2,cfg_042,20,True,none,True,2022_plus,3.8781960548504117,0.8363322823577106,
2,cfg_043,20,True,monthly,False,full,0.9948634957045809,0.4982138301904383,
2,cfg_044,20,True,monthly,False,pre_2022,0.9777708559673152,0.4921825749626898,
2,cfg_045,20,True,monthly,False,2022_plus,1.0684926309708491,0.522717044868028,
2,cfg_046,20,True,monthly,True,full,0.9948636619339913,0.4982138881896467,
2,cfg_047,20,True,monthly,True,pre_2022,0.9777710820859477,0.49218265565159147,
2,cfg_048,20,True,monthly,True,2022_plus,1.0684925499241393,0.522717019147228,
2,cfg_049,60,False,none,False,full,13.184972374939665,0.9487869549461865,
2,cfg_050,60,False,none,False,pre_2022,12.893750593505654,0.9476610500204475,
2,cfg_051,60,False,none,False,2022_plus,14.292802088351468,0.9526609199570537,
2,cfg_052,60,False,none,True,full,13.1642049779516,0.9487082713208411,
2,cfg_053,60,False,none,True,pre_2022,12.866371416094907,0.9475526476702393,
2,cfg_054,60,False,none,True,2022_plus,14.297239809995833,0.9526752602345547,
2,cfg_055,60,False,monthly,False,full,1.311908874900945,0.5895769127054011,
2,cfg_056,60,False,monthly,False,pre_2022,1.3037203444622179,0.5876236377648664,
2,cfg_057,60,False,monthly,False,2022_plus,1.3450565722855476,0.5973038173517786,
2,cfg_058,60,False,monthly,True,full,1.311908980909667,0.5895769378763832,
2,cfg_059,60,False,monthly,True,pre_2022,1.3037204882171987,0.5876236722140312,
2,cfg_060,60,False,monthly,True,2022_plus,1.3450565658305738,0.5973038158745961,
2,cfg_061,60,True,none,False,full,13.710080827028195,0.9506992779011395,
2,cfg_062,60,True,none,False,pre_2022,13.354199711000993,0.9494192390486413,
2,cfg_063,60,True,none,False,2022_plus,15.14618301935946,0.955267551448912,
2,cfg_064,60,True,none,True,full,13.689490602276065,0.9506269866240983,
2,cfg_065,60,True,none,True,pre_2022,13.327369150631114,0.9493200352624263,
2,cfg_066,60,True,none,True,2022_plus,15.15071066650041,0.955280615859617,
2,cfg_067,60,True,monthly,False,full,1.3037950139471883,0.5876415306645744,
2,cfg_068,60,True,monthly,False,pre_2022,1.325385340823493,0.5927527862694395,
