date,tenor,basis
2024-11-18,20,4.520988480984954
2024-11-19,20,4.502850618099956
2024-11-20,20,1.7923571407574173
2024-11-21,20,1.6247812827052712
2024-11-22,20,1.0146179038494552
2024-11-25,20,-0.0353906187666552
2024-11-26,20,1.87496468291522
2024-11-27,20,0.4883774423225304
2024-11-29,20,2.497239886170007
2024-12-02,20,1.1636687716331835
2024-12-03,20,3.1710882422775057
2024-12-04,20,3.175073868035838
2024-12-05,20,1.8237539050192024
2024-12-06,20,1.631546941052136
2024-12-09,20,0.106658938991984
2024-12-10,20,0.8093605940473481
2024-12-11,20,0.4279774145055057
2024-12-12,20,-0.941218839982696
2024-12-13,20,-0.7223523964406127
2024-12-16,20,-2.2394209645137835
2024-12-17,20,-2.0671603673804952
2024-12-18,20,-0.1447261424569887
2024-12-19,20,-3.549779276641459
2024-12-20,20,-3.134740405537059
2024-12-23,20,-2.0330909593457704
2024-12-24,20,-1.3777027356431972
2024-12-26,20,-2.5687693073517157
2024-12-27,20,-1.7527203599177028
2024-12-30,20,-2.5049407106525337
2024-12-31,20,-2.056503886558289
2010-01-04,5,38.55963009041341
2010-01-05,5,39.74736468069784
2010-01-06,5,36.5876845937363
2010-01-07,5,37.98712162342173
2010-01-08,5,32.985985623488205
2010-01-11,5,39.33304767473663
2010-01-12,5,36.2780510317462
2010-01-13,5,37.23627386445162
2010-01-14,5,32.53704315097525
2010-01-15,5,30.943748594631813
2010-01-19,5,31.220107101392895
2010-01-20,5,31.901257398847548
2010-01-21,5,28.48349173645957
2010-01-22,5,28.29256821822665
2010-01-25,5,29.77957017127329
2010-01-26,5,28.327341243363776
2010-01-27,5,32.07736124985374
2010-01-28,5,34.56421574967058
2010-01-29,5,25.43470864738273
2010-02-01,5,31.477401429875727
2010-02-02,5,29.811555734351455
2010-02-03,5,29.171103233223132
2010-02-04,5,29.14452852812224
2010-02-05,5,30.53258943802814
2010-02-08,5,28.532016632232285
2010-02-09,5,30.39813127120985
2010-02-10,5,27.90042664542193
2010-02-11,5,32.83728465903525
2010-02-12,5,29.12917864156037
2010-02-16,5,28.15292420206725
2010-02-17,5,28.28837820022079
2010-02-18,5,25.04347689972431
2010-02-19,5,21.505753320298936
2010-02-22,5,27.111556932259987
2010-02-23,5,28.404642441313115
2010-02-24,5,27.633986382378254
2010-02-25,5,26.685092323444053
2010-02-26,5,24.255690716452648
2010-03-01,5,25.673912039914114
2010-03-02,5,25.142014290830986
2010-03-03,5,25.615341464786383
2010-03-04,5,27.621185687063388
2010-03-05,5,24.08279216912445
2010-03-08,5,27.98018094757768
2010-03-09,5,24.04030085762176
2010-03-10,5,22.754721287310275
2010-03-11,5,19.79965326310173
2010-03-12,5,19.00540357711921
2010-03-15,5,17.420144029705057
2010-03-16,5,17.8742541060939
2010-03-17,5,19.86315362944694
2010-03-18,5,19.40268642079744
2010-03-19,5,19.074164613581672
2010-03-22,5,18.04035322017893
2010-03-23,5,17.781125814351185
2010-03-24,5,14.554322448572236
2010-03-25,5,13.522031319934683
2010-03-26,5,14.038934682685236
2010-03-29,5,15.02833012291262
2010-03-30,5,15.482868003722215
2010-03-31,5,18.393104853480224
2010-04-01,5,19.208111277642104
2010-04-02,5,20.343389727590647
2010-04-05,5,21.44190390263481
2010-04-06,5,16.875348289100373
2010-04-07,5,18.66432712806619
2010-04-08,5,18.505108861015515
2010-04-09,5,19.27379423737108
2010-04-12,5,20.038815747642783
