# Source: planC_discover_extend.py
# Generated: 2025-10-13 21:23:29Z
# Johansen VECM adjustment speeds converted to half-lives.
# Johansen rank=4
series,rank,alpha,half_life_days
arb_2,1,-0.02616453632477415,26.143752966485586
arb_2,2,0.018155889556716865,38.52307321816162
arb_2,3,0.009074412096032597,76.73085482537535
arb_2,4,-0.002699024281230413,256.46725503245534
arb_5,1,0.003820344805793313,181.78211785660852
arb_5,2,-0.01611454599605096,42.66624594570344
arb_5,3,0.011883218833302534,58.675809273342324
arb_5,4,-0.0038095039224062743,181.60529069788748
arb_10,1,0.002201486674803534,315.20058059089524
arb_10,2,0.01936608533903258,36.13727223650766
arb_10,3,-0.03761992640050008,18.076212496318618
arb_10,4,0.01956069742076142,35.78116358041935
arb_20,1,-0.006622714894005749,104.31513233479464
arb_20,2,-0.001231152487863216,562.6601211828964
arb_20,3,0.031501019808208006,22.348742143434183
arb_20,4,-0.02700277815892211,25.321321785723008
