# Source: planC_discover_extend.py
# Generated: 2025-10-13 21:23:29Z
# Panel OLS of delta arb on CPI, TIPS auction, FOMC*trend indicators.
# Cumulative effects computed using overall AR(1) rho.
tenor,n_obs,beta_cpi,p_cpi,beta_auction,p_auction,beta_fomc_time,p_fomc_time,avg_fomc_time_index,rho_ar1,cumulative_cpi,cumulative_auction,cumulative_fomc_at_avg
2,3716,-0.5727242093885749,0.022691421642736652,0.3486735788983383,0.14805682895047273,-7.198883304573434e-05,0.4337021902479342,2728.0833333333335,0.9910763703558196,-64.18063413939224,39.07306699194193,-22.008032992075428
5,3751,-0.056207174148312944,0.688126596782967,0.10180675060213017,0.44873294419307097,-3.234829978668858e-05,0.5303803996859635,2728.0833333333335,0.9960084074018972,-14.08139051440983,25.50529596896221,-22.108683524385835
10,3751,-0.11310104242773558,0.4880762922054013,0.0919869867237857,0.5568021397554457,-5.802464534421012e-05,0.33398301401756214,2728.0833333333335,0.9965715481359458,-32.98895446471081,26.83047345311439,-46.17129659768108
20,3751,0.019503358070869517,0.9014072351197043,0.12591636915192303,0.40465724215661747,-2.1750615625326033e-05,0.7074837264125071,2728.0833333333335,0.9966292138033364,5.785996777301883,37.355193063432274,-17.603457625382152
